id,strategy,status,total_royalty_micro,items,orders,created_at,earliest_processing_at,processing_started_at,processing_completed_at
68,TimeWindowBatch,4,1193570,8,4,2026-08-03T10:52:45.160Z,2026-08-03T10:57:45.162Z,,2026-08-03T10:58:00.886Z
69,TimeWindowBatch,4,2173900,11,4,2026-08-03T10:59:00.207Z,2026-08-03T11:04:00.210Z,,2026-08-03T11:04:04.833Z
70,TimeWindowBatch,3,1733929,10,4,2026-08-03T11:05:30.262Z,2026-08-03T11:10:30.265Z,2026-08-03T11:10:31.376Z,2026-08-03T11:11:35.331Z
71,TimeWindowBatch,3,2714286,11,4,2026-08-03T11:11:45.314Z,2026-08-03T11:16:45.316Z,2026-08-03T11:16:49.488Z,2026-08-03T11:17:55.358Z
72,TimeWindowBatch,3,1181254,11,4,2026-08-03T11:18:00.360Z,2026-08-03T11:23:00.360Z,2026-08-03T11:23:16.506Z,2026-08-03T11:23:35.410Z
73,TimeWindowBatch,3,2545541,13,4,2026-08-03T11:24:30.408Z,2026-08-03T11:29:30.409Z,2026-08-03T11:29:34.947Z,2026-08-03T11:30:35.470Z
74,TimeWindowBatch,3,1554371,10,4,2026-08-03T11:30:45.455Z,2026-08-03T11:35:45.455Z,2026-08-03T11:36:04.715Z,2026-08-03T11:38:55.535Z
75,TimeWindowBatch,4,2496376,11,4,2026-08-03T11:37:00.499Z,2026-08-03T11:42:00.499Z,,2026-08-03T11:42:01.272Z
76,TimeWindowBatch,3,2355040,12,4,2026-08-03T11:43:30.558Z,2026-08-03T11:48:30.559Z,2026-08-03T11:48:32.007Z,2026-08-03T11:48:55.618Z
77,TimeWindowBatch,3,1319465,6,4,2026-08-03T11:49:45.603Z,2026-08-03T11:54:45.603Z,2026-08-03T11:54:46.571Z,2026-08-03T11:56:15.668Z
78,TimeWindowBatch,3,2260949,12,4,2026-08-03T11:56:00.651Z,2026-08-03T12:01:00.651Z,2026-08-03T12:01:19.860Z,2026-08-03T12:02:35.716Z
79,TimeWindowBatch,3,2100052,12,4,2026-08-03T12:02:30.709Z,2026-08-03T12:07:30.710Z,2026-08-03T12:07:32.130Z,2026-08-03T12:07:55.770Z
80,TimeWindowBatch,3,1563356,9,4,2026-08-03T12:08:45.754Z,2026-08-03T12:13:45.755Z,2026-08-03T12:13:49.839Z,2026-08-03T12:14:55.818Z
81,TimeWindowBatch,3,1290269,9,4,2026-08-03T12:15:00.805Z,2026-08-03T12:20:00.806Z,2026-08-03T12:20:17.177Z,2026-08-03T12:21:15.881Z
82,TimeWindowBatch,3,609031,6,4,2026-08-03T12:21:30.864Z,2026-08-03T12:26:30.865Z,2026-08-03T12:26:35.137Z,2026-08-03T12:28:35.939Z
83,TimeWindowBatch,3,1771391,8,4,2026-08-03T12:27:45.917Z,2026-08-03T12:32:45.918Z,2026-08-03T12:32:46.884Z,2026-08-03T12:33:35.963Z
84,TimeWindowBatch,3,1386940,9,4,2026-08-03T12:34:00.961Z,2026-08-03T12:39:00.961Z,2026-08-03T12:39:20.314Z,2026-08-03T12:40:16.029Z
85,TimeWindowBatch,3,2582979,11,4,2026-08-03T12:40:31.017Z,2026-08-03T12:45:31.018Z,2026-08-03T12:45:32.261Z,2026-08-03T12:46:36.076Z
86,TimeWindowBatch,3,1588164,9,4,2026-08-03T12:46:46.063Z,2026-08-03T12:51:46.064Z,2026-08-03T12:51:47.278Z,2026-08-03T12:52:56.124Z
87,TimeWindowBatch,3,982271,9,4,2026-08-03T12:53:01.106Z,2026-08-03T12:58:01.107Z,2026-08-03T12:58:17.127Z,2026-08-03T12:58:56.169Z
88,TimeWindowBatch,3,1677042,10,4,2026-08-03T12:59:31.158Z,2026-08-03T13:04:31.159Z,2026-08-03T13:04:35.496Z,2026-08-03T13:08:36.239Z
89,TimeWindowBatch,3,2258143,15,4,2026-08-03T13:05:46.209Z,2026-08-03T13:10:46.210Z,2026-08-03T13:11:02.518Z,2026-08-03T13:13:56.283Z
90,TimeWindowBatch,4,1580138,9,4,2026-08-03T13:12:01.259Z,2026-08-03T13:17:01.260Z,,2026-08-03T13:17:02.565Z
91,TimeWindowBatch,3,1079507,6,4,2026-08-03T13:18:31.314Z,2026-08-03T13:23:31.315Z,2026-08-03T13:23:32.384Z,2026-08-03T13:25:36.394Z
92,TimeWindowBatch,3,615269,3,1,2026-08-03T13:24:46.371Z,2026-08-03T13:29:46.372Z,2026-08-03T13:30:02.416Z,2026-08-03T13:30:16.420Z
